Title,Year,Alternative_Titles,Director,Lead_Actor,Co_Stars,Music,Synopsis_and_Notes
Bullet for the General,1966,Quien Sabe?,Damiano Damiani,Gian Maria Volonté,"Lou Castel, Klaus Kinski, Martine Beswick, Andrea Checchi, Spartaco Conversi, Aldo Sambrell",Luis Enrique Bacalov,"A landmark political Eurowestern. A mercenary joins a charismatic Mexican rebel leader's outfit on an ideological and financial train raid, secretly harboring a contract from the government to assassinate the general."
Bullets and the Flesh,1965,Il Piombo e il Carne; I Sentieri dell'Odio,Marino Girolami (as Fred Wilson),Rod Cameron,"Patricia Viterbo, Thomas Moore, Dan Harrison, Manolo Zarzo, Marie Versini, Alfredo Mayo",Carlo Savina,"A frontier drama transposing classic family feud tropes. A timber baron attempts to burn down native forest preserves to secure lumber contracts for the railroad, triggering an armed uprising."
Bullets Don't Argue,1964,Las Pistolas no Discuten; Le Pistole non Discutono,Mario Caiano (as Mike Perkins),Rod Cameron,"Horst Frank, Angel Aranda, Vivi Bach, Ludwig Duran, Dick Palmer, Hans Nielsen",Ennio Morricone,"A dedicated sheriff has his wedding interrupted by a daring bank raid. He pursues the two bandit brothers across the Mexican border, but faces a gang of mercenaries attempting to hijack the recovered funds on the return journey."
Bury Them Deep,1968,To the Last Drop of Blood; All'Ultimo Sangue,Paolo Moffa (as John Byrd),Craig Hill,"Ettore Manni, Ken Wood, José Greci, Francesco Santovetti, Luciano Doria",Nico Fidenco / Willy Brezza,A military payroll shipment is ambushed by an outlaw outfit. A hired tracker rescues the ringleader's imprisoned brother from the gallows to help track down the gang and recover the army gold.
Calibre .38,1971,Panhandle Calibre .38; Padella Calibro .38; Poëlla Calibro .38; E alla Fine lo Chiamavano Jerusalem l'Implacabile,Toni Secchi,Scott Holden,"Alberto Dell'Acqua, Keenan Wynn, Mimmo Palmara, Ray O'Connor, Carla Mancini, Ted Carter, Philippe Leroy",Franco Micalizzi,"Jerusalem Wade (Scott Holden, son of William Holden) is a benevolent gunfighter and occasional bounty hunter who rides into town to protect his sister from an overbearing land baron (Keenan Wynn). A notable curiosity as the only directorial effort by acclaimed cinematographer Toni Secchi. Features solid genre support from Mimmo Palmara and Philippe Leroy."
California,1976,Lo Chiamavano California,Michele Lupo,Giuliano Gemma,"William Berger, Malisa Longo, Raimund Harmstorf, Chris Avram, Paola Bosè, Dana Ghia, Alfio Caltabiano, Robert Hundar",Gianni Ferrio,"A somber, gritty post-Civil War drama starring Giuliano Gemma as an ex-Confederate soldier drifting through Missouri. After delivering the belongings of an executed comrade to the soldier's family, he falls for the sister (Malisa Longo) and stays to work their land. When ruthless bounty hunters slaughter the family and kidnap the woman, California launches a brutal pursuit. Grittily photographed in earthy tones by Alejandro Ulloa."
Canadian Wilderness,1969,Rebeldes en Canada; Rebels in Canada; Revolt in Canada; Canada Salvaje,Armando De Ossorio,George Martin,"Diana Lorys, Luis Marin, Santiago Rivero, Pamela Tudor, Franco Fantasia, Raf Baldassare, Francisco Nieto",Carlo Savina,"A frontier survival adventure focused on the hardships faced by early pioneers carving out lives in the rugged northern wilderness. The settlers must band together to withstand harsh natural elements, hostile native factions, and opportunistic outlaw raiders. Directed by Spanish cult horror figure Armando De Ossorio."
Captain Apache,1971,Captain Apache,Alexander Singer,Lee Van Cleef,"Carroll Baker, Stuart Whitman, Elisa Montes, Charlie Bravo, Percy Herbert, Tony Vogel",Dolores Claman / Pepe Nieto,"Lee Van Cleef plays a Native American cavalry officer assigned to solve the mysterious murder of an Indian Commissioner whose dying words were 'April Morning.' His investigation leads him into a complex web of land speculation, corrupt politicians, and a plot by a rogue renegade (Stuart Whitman) to assassinate President Grant. The film is notorious for Van Cleef personally crooning the eccentric theme song."
Carambola,1974,Carambola,Ferdinando Baldi,Paul Smith,"Michael Coby (Antonio Cantafora), Horst Frank, William Bogart, Pino Ferrara, Franco Fantasia, Pedro Sanchez",Franco Bixio / Vince Tempera,"An action-heavy comedy modeled directly on the Terence Hill/Bud Spencer formula, featuring lookalike duo Paul Smith and Michael Coby. After breaking out of prison, the two con-men wander into Desert City and stumble onto an illegal arms-smuggling ring run by a crooked town boss. Features comic brawls, disguise gags, and an unexpected martial arts showdown inside a hall of mirrors."
Carambola's Philosophy: In the Right Pocket,1975,Carambola Filosofo... Tutti in Buca,Ferdinando Baldi,Paul Smith,"Michael Coby, Clauco Onorato, Gabriela Andreini, Giovanni Pazzafini, Piero Lulli",Franco Bixio / Vince Tempera,"The sequel to Carambola, following the same rogue pair as they hustle local frontier towns for quick cash. While heavyweight Lynn takes bets on brute tests of strength, partner Coby cleans up at the saloon pool tables through trick-shot trickery. Trouble arises when they target the wrong local syndicate and end up having to shoot their way out."
Cavalry Charge,1964,La Carga de la Policia Montada,Ramon Torrado,Alan Scott,"Frank Latimore, Diana Lorys, Maria Silva, Alfonso Rojas, Juan Cortes, Barta Barry",Daniel J. White,"An early Spanish-produced western that follows a mounted patrol stationed along a volatile border zone. Tasked with protecting pioneer outposts, the cavalrymen find themselves caught between regional bandits and escalating tensions with local tribes. Features music by frequent Jess Franco collaborator Daniel White."
Cemetery Without Crosses,1968,"The Rope and the Colt; Cimitero Senza Croci; Une Corde, un Colt",Robert Hossein,Robert Hossein,"Michèle Mercier, Lee Burton, Daniel Vargas, Anne-Marie Balin, Ivano Staccioli, Serge Marquand",André Hossein,"A bleak, minimalist masterpiece cowritten by Dario Argento and directed by star Robert Hossein. When a woman's husband is lynched by a ruthless ranching dynasty, she hires a reclusive gunfighter living in a ghost town to execute an intricate plan of psychological and violent retribution. Sergio Leone famously makes a cameo appearance as a hotel clerk."
Challenge of the Mackennas,1969,Badlands Drifters; Sfida dei MacKenna,Leon Klimovsky,Robert Woods,"John Ireland, Annabella Incontrera, Vidal Molina, Roberto Camardiel, Ken Wood, Daniela Giordano",Francesco De Masi,"A drifter (Robert Woods) seeking to escape his violent past wanders directly into a deadly borderland range war between two tyrannical ranch owners (John Ireland and Roberto Camardiel). Forced to choose a side to protect innocent families caught in the crossfire, he takes up arms in a bloody campaign of self-defense."
Charge of the Seventh Cavalry,1964,Assault on Fort Texan; Heroes of Fort Worth; La Carica del 7 Cavalleggeri,Alberto De Martino (as Herbert Martin),Edmund Purdom,"Paul Piaget, Priscilla Steele, Aurora Julia, Isarco Ravaioli, Miguel Del Castillo, Eduardo Fajardo",Gianni Ferrio,"Set in 1863, Confederate forces attempt to send an envoy into Mexico to negotiate military assistance from Emperor Maximilian. When their expedition is intercepted at Wichita Pass by the Union Seventh Cavalry, a Confederate scout must rely on assistance from friendly tribes to turn the tide in a large-scale battle."
Charley One-Eye,1972,Charley One-Eye,Don Chaffey,Richard Roundtree,"Roy Thinnes, Nigel Davenport, Jill Pearson, Aldo Sambrell, Luis Aller",John Cameron,"An unconventional, allegorical western pairing an African-American Union deserter (Richard Roundtree) with a crippled, outcast Indian (Roy Thinnes). Taking refuge inside a desolate abandoned church in the desert, the two form an uneasy bond of survival until a ruthless bounty hunter (Nigel Davenport) tracks them down."
"Chetan, Indian Boy",1972,Tschetan der Indianer Junge,Marquard Bohm,Marquard Bohm,"Deschingis Bowakow, Willy Schultes, Horst Schram",Peer Raben,"A rare, melancholic German 'anti-western' focusing on the tender, bittersweet relationship between an aging homesteader and an orphaned native youth who helps him work his isolated ranch. Photographed by celebrated cinematographer Michael Ballhaus, the film prioritizes realism and atmosphere over conventional shootouts."
"China 9, Liberty 37",1978,"Clayton and Catherine; Love, Bullets and Frenzy; Amore, Piombo e Furore",Monte Hellman,Fabio Testi,"Warren Oates, Jenny Agutter, Sam Peckinpah, Luis Prendes, Gianrico Tondivelli, Charlie Bravo, Helga Line",Pino Donaggio,"Railroad barons rescue a condemned gunfighter (Fabio Testi) from the gallows on the condition that he murder a defiant homesteader (Warren Oates) who refuses to yield his property. Instead, the gunman befriends the farmer and has an illicit affair with the man's wife (Jenny Agutter), leading to a shared stand against the railroad syndicate. Features a rare acting cameo by director Sam Peckinpah."
Chino,1973,"The Valdez Horses; Valdez, il Mezzosangue",John Sturges,Charles Bronson,"Jill Ireland, Marcel Bozzuffi, Vincent Van Patten, Fausto Tozzi, Ettore Manni, Diana Lorys",Guido and Maurizio De Angelis,"Charles Bronson stars as Chino Valdez, a solitary halfbreed horse breeder in the American Southwest who wants nothing more than to be left in peace. When he begins a romance with the sister of a wealthy, bigoted cattle baron (Marcel Bozzuffi), the rancher subjects Chino to brutal beatings and destroys his homestead, forcing Chino into an act of tragic defiance."
Christmas Kid,1966,Joe Navidad; Lo Sceriffo Senza Stella,Sidney Pink,Jeffrey Hunter,"Louis Hayward, Gustavo Rojo, Perla Cristal, Luis Prendes, Reginald Gilliam, Jack Taylor",Fernando Garcia Morcillo,"When rich mineral deposits are discovered in Jasper, Arizona, the quiet community quickly descends into lawlessness, gambling, and corruption. Jeffrey Hunter plays the Christmas Kid, a gunman initially hired by the corrupt town boss who switches allegiance and becomes marshal after his lover is murdered during a turf dispute."
Chrysanthemums for a Bunch of Swine,1968,Crisantemi per un Branco di Carogne,Sergio Pastore,Edmund Purdom,"John Manera, Marilena Possenti, Ivano Davoli, Livio Lorenzon, Joseph Logan",Piero Umiliani,"An outlaw gang attacks a rural wedding, slaughtering guests and abducting the young bride to an abandoned monastery. A mysterious, sharpshooting friar (Edmund Purdom) takes up weapons to track the kidnappers down and liberate the captive. An offbeat genre rarity from director Sergio Pastore."
Chuck Moll,1970,"Unholy Four; Chakmull, l'Uomo della Vendetta",Enzo Barboni (as E. B. Clucher),Leonard Mann,"Woody Strode, Peter Martell, Helmut Schneider, Dino Strano, Evelyn Stewart, Luigi Montefiori (George Eastman)",Riz Ortolani,"An amnesiac gunfighter escaping from an asylum is manipulated by a deceptive former confederate who claims to be his father, aiming to weaponize him against an old business partner. As his memory slowly returns, Chuck discovers the horrifying truth about who murdered his real family. Directed by Trinity creator Enzo Barboni before his shift to pure comedy."
"Ciccio Forgives, I Don't",1968,Ciccio Perdona... Io No!,Marcello Ciorciolini (as Frank Reed),Franco Franchi,"Ciccio Ingrassia, Fernando Sancho, Adriano Micantoni, Mario Maranzana, Gia Sandri",Roberto Pregadio / Mario Capuano,"A slapstick parody poking fun at Giuseppe Colizzi's hit film God Forgives, I Don't. Lowbrow comedy legends Franco and Ciccio play two bumbling insurance salesmen who make the terrible mistake of trying to sell life and accident policies to violent bandidos, chief among them the notorious El Pantera (Fernando Sancho)."
Cipolla Colt,1975,Cry Onion; Spaghetti Western,Enzo G. Castellari,Franco Nero,"Martin Balsam, Sterling Hayden, Dick Butkus, Leo Anchóriz, Romano Puppo, Emma Cohen",Guido and Maurizio De Angelis,"Franco Nero plays Onion Stark, an eccentric marksman whose sole obsession is buying land to farm sweet onions. When a corrupt oil syndicate led by a ruthless tycoon with a mechanical hand (Martin Balsam) attempts to drive him out, Stark retaliates using a bizarre assortment of customized weaponry, onion juice, and slapstick acrobatics."
Cisco,1966,El Cisco,Sergio Bergonzelli,William Berger,"George Wang, Antonella Murgia, Tom Felleghy, Nino Vingelli, Cristina Gajoni, Lucye Bomez",Bruno Nicolai,"When a border sheriff leaves town, his corrupt deputy joins forces with an outlaw gang to plunder the regional bank. Cisco (William Berger), a cunning loner with a bounty on his head, stays one step ahead of both sides by taking the money first and staging his own death to expose the dishonest lawmen."
Cjamango,1967,Cjamango,Edoardo Mulargia (as Edward G. Muller),Ivan Rassimov (as Sean Todd),"Mickey Hargitay, Hélène Chanel, Livio Lorenzon, Pedro Sanchez, Piero Lulli, Rick Boyd",Felice Di Stefano,"After winning a massive cache of gold in a high-stakes poker game, gunfighter Cjamango is ambushed and robbed by two rival bandit factions led by El Tigre and Don Pablo. When El Tigre kidnaps a young boy to blackmail the hero, Cjamango tracks down both outfits in a relentless war of attrition."
Clint the Stranger,1968,Clint the Nevada Loner; Clint il Solitario,Alfonso Balcazar,George Martin,"Marianne Koch, Francisco J. Huetos, Fernando Sancho, Walter Barnes, Xan Das Bolas, Paolo Gozlino",Nora Orlandi,"Rancher Clint Harrison is sentenced to prison after killing two hired hands in self-defense during an aggressive land dispute. Years later, he returns home to find his homestead abandoned and his family missing, sparking a search that brings him into direct conflict with the region's tyrannical cattle baron."
Coffin for the Sheriff,1965,Una Bara per lo Sceriffo; Lone and Angry Man,Mario Caiano (as William Hawkins),Anthony Steffen,"Eduardo Fajardo, Jorge Rigaud, Armando Calvo, Arthur Kent, Luciana Gilli, Miguel Del Castillo",Francesco De Masi,"Anthony Steffen plays a former lawman who infiltrates a merciless bandit crew led by the treacherous Murdock (Eduardo Fajardo). Blaming the gang for the murder of his wife, the disguised sheriff acts as an inside operative until he can turn the outlaws against one another in a final town standoff."
Colorado Charlie,1965,Colorado Charlie,Roberto Mauri (as Robert Johnson),Jacques Berthier,"Charlie Lawrence, Barbara Hudson, Erika Blanc, Luis Chavarro, Andrew Ray, Luigi Batzella (as Paul Solvay)",Gioacchino Angelo,"A frontier marshal resigns his post to start a quiet family life, leaving law enforcement in the hands of his youthful deputy. When a vicious outlaw known as Colorado Charlie raids the town and shoots the new lawman, the retired marshal straps on his twin Colts to hunt the gang down."
"Colt 45, Five Dollars, and a Bandit",1967,"Colt, Cinque Dollari, una Carogna; Seven Guns for Seven Bandits",Richard Chardon,William Cliff,Cast uncredited / regional performers,Rudolph J. Cooper,"An obscure, low-budget Italian-Spanish production that received minimal theatrical release outside southern Europe. The story follows a lone gunfighter navigating small frontier mining communities to capture an elusive bandit ring for a cash bounty."
Colt in the Hand of the Devil (1967),1967,Devil Was an Angel; An Angel with a Gun Is a Devil; Una Colt in Pugno del Diavolo,Sergio Bergonzelli,Bob Henry,"Marisa Solinas, George Wang, Gerardo Rossi, Lucretia Love, Luciano Benetti",Gianfranco Reverberi,A military scout sent into the Mojave Desert to locate a missing wagon train discovers the settlers have been enslaved by a charismatic outlaw boss operating an illegal mine. The scout forms an unexpected camaraderie with the bandit leader before the cavalry arrives to force a final decision.
Colt in the Hand of the Devil (1972),1972,Una Colt in Mano del Diavolo,Gianfranco Baldanello (as Frank G. Carrol),Robert Woods,"William Berger, José Torres, George Wang, Mila Stanić, Harry Baird",Piero Piccioni,"Texas Ranger Wilton (Robert Woods) is tasked with tracking down the elusive and sadistic Butch Brown gang (headed by William Berger). Setting up traps across desert hideouts, the ranger methodically hunts down each gang member while safeguarding a local widow caught in the conflict."
Colt Is the Law,1965,My Colt Is the Law; Colt è la Mia Legge,Alfonso Brescia (as Al Bradly),Anthony Clark,"Lucy Gilly, Miguel de la Riva, Peter White, Aldo Cecconi, Michael Martin, Jim Clay",Carlos Castellanos Gomez,"Two undercover federal marshals are dispatched to San Felipe to investigate the disappearance of railroad construction payrolls. Discovering that prominent local businessmen are behind the thefts, the lawmen discard subtle detective work in favor of continuous, high-octane gun battles."
Comin' at Ya!,1981,Comin' at Ya!,Ferdinando Baldi,Tony Anthony,"Victoria Abril, Gene Quintana, Ricardo Palacios, Lewis Gordon",Carlo Savina,"A landmark 3-D western produced and starring Tony Anthony. A bumbling bank robber decides to settle down and marry his sweetheart (Victoria Abril), but ruthless outlaws invade the church and abduct her. The groom mounts an obsessive chase across the borderlands, utilizing a sawed-off shotgun and flaming arrows to annihilate the kidnappers."
Compañeros,1970,"Vamos a Matar, Compañeros!",Sergio Corbucci,Franco Nero,"Tomás Milian, Jack Palance, Karin Schubert, Fernando Rey, José Bodalo, Eduardo Fajardo",Ennio Morricone,"Corbucci's political adventure masterpiece set during the Mexican Revolution. A sharp, cynical Swedish arms merchant (Franco Nero) and a fiery peasant rebel (Tomás Milian) form an uneasy alliance to liberate an idealistic pacifist professor (Fernando Rey) from a military prison to unlock a safe full of revolutionary funds, all while being hunted by a marijuana-smoking mercenary (Jack Palance)."
Cost of Dying,1968,Taste of Death; Quanto Costa Morire,Sergio Merolle,Andrea Giordana,"John Ireland, Raymond Pellegrin, Betsy Bell, Bruno Corazzari, Giovanni Petrucci",Francesco De Masi,"A snowbound mountain western set in Colorado, where a vicious band of cattle rustlers takes over a freezing frontier settlement. When an elderly retired sheriff and his stepson are gunned down trying to resist the takeover, the townspeople band together in a unique shootout staged amidst deep snowdrifts."
Cowards Don't Pray,1968,Taste of Vengeance; I Vigliacchi non Pregano,Mario Siciliano (as Marlon Sirko),Gianni Garko,"Ivan Rassimov (as Sean Todd), Elisa Montes, Jerry Wilson, José Jaspe, Luciano Pignozzi",Manuel Parada,"A grim psychological revenge tale. A veteran returns from the Civil War to find his homestead burned and his wife murdered by vigilantes. Consumed by hatred, he becomes a psychopathic bandit, eventually forcing his former friends and family to hunt him down when his thirst for violence spirals out of control."
Coyote,1964,Judgment of Coyote; Giustizia del Coyote,Joaquin Romero Marchent,Abel Salazar,"Gloria Marin, Manuel Monroy, Miguel Palenzuela, Billy Hayden",Odon Alonso,"Mexican cinema favorite Abel Salazar plays the masked avenger Coyote, defending the oppressed citizens of 1840s California against the tyrannical abuses of an autocrat governor and his corrupt military garrisons."
Cry for Revenge,1968,Quien Grita Venganza; I Morti non si Contano,Rafael Romero Marchent,Mark Damon,"Anthony Steffen, Raf Baldassarre, Maria Martin, Luis Induñi, Piero Lulli, Dianik Zurakowska",Riz Ortolani,"Two bounty hunters (Mark Damon and Anthony Steffen) agree to help a widow avenge her husband's murder by an elusive outlaw outfit. Full of classic genre double-crosses, tense quick-draw confrontations, and a twisting trail of betrayals."
Cut-Throats Nine,1973,Condenados a Vivir,Joaquin Romero Marchent,Robert Hundar,"Emma Cohen, Manuel Tejada, Alberto Dalbes, Antonio Iranzo, Carlos R. Marchent",Carmelo Bernaola,"Renowned as one of the most violent and gruesome westerns ever made. When a prison wagon overturns in a blizzard, a cavalry sergeant and his daughter must escort a chain gang of psychotic, condemned killers on foot through the snow. Paranoia, greed, and mutilation quickly escalate into an apocalyptic struggle for survival."
Dallas,1972,Il Mio Nome è Scopone e Faccio Sempre Cappotto,Ignacio Iquino (as Juan Bosch),Anthony Steffen,"Frank Braña, Angel Aranda, Karin Heske, Luis Induñi, Ralph Birks",Marcello Giombini,"Anthony Steffen plays Jake, a reformed gunslinger who tries to hang up his pistols and live a quiet life in Dallas. His retirement is ruined when a notorious bounty hunter (Frank Braña) wanders into town, forcing him back into gunplay to defend his homestead. Directed by Spanish workhorse Ignacio Iquino under his Juan Bosch pseudonym."
Damned Pistols of Dallas,1964,Three Dollars of Lead; Le Maledette Pistole di Dallas; Tre Dollari di Piombo,José Maria Zabalza (as Joseph Trader),Fred Bier,"Evi Marandi, Olivier Mathot, Rob Messenger, Angel Alvarez, Luis Induñi, Dina De Saint",Gioacchino Angelo,"An early Spanish co-production where a frontier sheriff (Fred Bier) must organize reluctant, terrified Dallas citizens to defend their town against an advancing Mexican army detachment while awaiting cavalry reinforcements. Features French actor Olivier Mathot in an early genre role."
Day of Anger,1967,Days of Wrath; I Giorni dell'Ira,Tonino Valerii,Lee Van Cleef,"Giuliano Gemma, Walter Rilla, Crista Linder, Piero Lulli, Yvonne Sanson, Andrea Bosić",Riz Ortolani,"A masterpiece of the genre exploring the student-and-mentor relationship. Cynical, aging gunfighter Frank Talby (Lee Van Cleef) arrives in Clifton and takes Scott Mary (Giuliano Gemma), an abused town street-sweeper, under his wing, teaching him ten ruthless rules of survival. When Talby takes over the town by extortion, Scott is forced to use those very lessons against his teacher in a tragic showdown."
Days of Violence,1967,I Giorni della Violenza,Alfonso Brescia (as Al Bradly),Peter Lee Lawrence,"Rosalba Neri, Beba Loncar, Luigi Vanucchi, Nello Pazzafini, Andrea Bosić, Lucio Rosato",Bruno Nicolai,"Set in Missouri during the Civil War, two brothers find their farm torched and destroyed by Union soldiers. Seeking retribution, one brother joins a Confederate guerrilla outfit, only to discover the gang's leader is more interested in senseless robberies and bloodthirsty plunder than the Southern cause. Elevated by the presence of genre star Rosalba Neri."
Dead Are Countless,1969,Garringo; I Morti Non Si Contano,Rafael Romero Marchent,Anthony Steffen,"Peter Lee Lawrence, Solvi Stubing, José Bodalo, Luis Barboo, Raf Baldassare, Frank Braña",Marcello Giombini,"A unique, dark psychological thriller with a serial killer motif. As a child, Johnny (Peter Lee Lawrence) witnessed his father's brutal execution by Union soldiers, leaving him so deeply traumatized that he now tracks and slaughters every military officer he encounters. Hardened federal officer Garringo (Anthony Steffen) is dispatched with orders to hunt the young madman down dead or alive."
Dead for a Dollar,1968,"Trusting Is Good... Shooting Is Better; Fidarsi è Bene, Sparare è Meglio; T'Ammazzo, Raccomandati a Dio",Osvaldo Civirani,George Hilton,"John Ireland, Dick Palmer (Mimmo Palmara), Gordon Mitchell, Piero Vida, Monica Pardo",Angelo Francesco Lavagnino,"A lighthearted caper comedy following three rival outlaws (George Hilton, John Ireland, and Piero Vida) who successfully execute a $200,000 bank robbery. The thieves spend the rest of the narrative double-crossing, tricking, and chasing each other across the border until an opportunistic saloon woman swindles the entire fortune from under their noses."
Dead Men Ride,1970,Anda Muchacho Spara!,Aldo Florio,Fabio Testi,"Eduardo Fajardo, Massimo Serato, Alan Collins (Luciano Pignozzi), Daniel Martin, Charo Lopez, José Calvo",Bruno Nicolai,"Escaped prisoner Roy Greenford (Fabio Testi) is nursed back to health by an impoverished Mexican peasant family. Seeing the local farmers brutalized and starved by greedy town boss Redfield (Eduardo Fajardo), Roy acts as an avenging angel to liberate their valley. Bruno Nicolai provides an explosive soundtrack heavily echoing his work with Ennio Morricone."
Deadlock,1970,Deadlock,Roland Klick,Mario Adorf,"Anthony Dawson, Marquard Bohm, Mascha Elm-Rabben, Sigurd Fitzek, Betty Segal",Can (band),"A sun-scorched, avant-garde contemporary German western filmed near the Dead Sea. A wounded bank robber carrying a suitcase packed with $700,000 collapses in a desolate desert outpost, where an opportunistic vagrant (Mario Adorf) and a ruthless partner (Anthony Dawson) battle over the buried money in a minimalist, feverish standoff punctuated by a krautrock score."
Deadly Trackers,1972,Long Cavalcade of Vengeance; La Lunga Cavalcata della Vendetta,Tanio Boccia (as Amerigo Anton),Richard Harrison,"Anita Ekberg, Rik Battaglia, George Wang, Men Fury (Furio Meniconi), Dada Gallotti, Lorenzo Piani",Carlo Esposito,"A traditional wagon-train drama starring Richard Harrison as a seasoned scout hired to escort homesteaders through treacherous, outlaw-infested territory in Wyoming. The plot takes a romantic turn when he falls for a Swedish traveler played by international screen siren Anita Ekberg."
Deaf Smith and Johnny Ears,1972,Los Amigos,Paolo Cavara,Anthony Quinn,"Franco Nero, Pamela Tiffin, Ira Furstenberg, Adolfo Lastretti, Franco Graziosi, Tom Felleghy",Daniele Patucchi,"Anthony Quinn stars as the historical, hearing-impaired scout Erastus 'Deaf' Smith alongside his fast-talking partner Johnny Ears (Franco Nero). Sent on an undercover mission by Sam Houston to stop a corrupt general conspiring with foreign powers against Texas statehood, the duo uses dynamite, deception, and rifle skills to thwart the plot."
Death at Owell Rock,1967,No Killing Without Dollars; La Morte Non Conta i Dollari,Riccardo Freda (as George Lincoln),Mark Damon,"Stephen Forsyte, Luciana Gilli, Pamela Tudor, Giovanni Pazzafini, Pedro Sanchez, Spartaco Conversi",Nora Orlandi / Robbe Poitevin,"Veteran Italian horror filmmaker Riccardo Freda directs this stylish revenge mystery. Gunfighter Lawrence (Mark Damon) returns to the sinister settlement of Owell Rock to investigate the murder of his father, only to find the terrified residents cowed into silence by a wealthy land baron and his ruthless gunmen."
Death Is Sweet from the Soldier of God,1972,Django... Adios!; Seminò la Morte... Lo Chiamavano il Castigo di Dio,Roberto Mauri (as Robert Johnson),Brad Harris,"José Torres, Paolo Magalotti, Zara Cilli, Vassili Karis, Roberto Messina, Franco Pasquetto",Vasil Kojucharov,"Brad Harris plays a mysterious wanderer in black—part ghost, part holy avenger—who arrives in a border territory to administer vigilante justice against an untouchable outlaw chieftain. Combining gothic overtones with bullet-riddled showdowns, this film was retitled Django Adios in several foreign markets."
Death Knows No Time,1968,Tierra Brava; E Intorno a Lui Fu Morte,Leon Klimovsky,William Bogart,"Pedro Sanchez, Wayde Preston, Agnes Spaak, Miguel Del Castillo, Eduardo Fajardo, Sydney Chaplin",Carlo Savina,"A lone, nameless bounty hunter tracks an elusive outlaw known as the Cactus Kid into a violent border town. After wiping out the local gang of bandits, the stranger is persuaded by the desperate townspeople to pin on the sheriff's tin star and restore order to the region."
Death on High Mountain,1969,La Morte sull'Alta Collina,Fernando Cerchio (as Fred Ringoold),Peter Lee Lawrence,"Luis Dávila, Tano Cimarosa, Agnes Spaak, Antonio Gradoli, Nello Pazzafini, Frank Braña",Luis Enrique Bacalov,"When a bumbling Mexican bandit general and a corrupt town boss stage an elaborate bank raid during a church wedding, two bystanders (Peter Lee Lawrence and Luis Dávila) shoot their way into the robbery and hijack the loot for themselves, sparking a series of double-crosses and mountain chases."
Death Played the Flute,1972,Lo Ammazzo Come un Cane... Ma Lui Rideva Ancora,Elo Panaccio,Michael Forrest,"Steven Tedd, Aldo Berti, Chet Davis, Anthony Freeman, Suzanne Levi, Clara Hope",Daniele Patucchi,"Riffing on Charles Bronson's iconic harmonica-playing gunfighter, Michael Forrest stars as Ryan, an eccentric bounty hunter who carries a concert flute and plays melodic tunes before dispatching his targets. He takes on a corrupt gang terrorizing homesteaders along the frontier."
Death Rides a Horse,1967,As Man to Man; Da Uomo a Uomo,Giulio Petroni,Lee Van Cleef,"John Phillip Law, Anthony Dawson, José Torres, Mario Brega, William Bogart, Luigi Pistilli",Ennio Morricone,"As a child, Bill (John Phillip Law) survived the brutal slaughter of his entire family by a gang of bandits. Fifteen years later, he teams up with newly released convict Ryan (Lee Van Cleef), who is also hunting the same men for framing him. Bill gradually discovers the horrifying truth: Ryan was among the gang on the night his family died. Highlighted by one of Ennio Morricone's greatest and most savage musical scores."
Death Rides Alone,1968,Con Lui Cavalca la Morte,Giuseppe Vari (as Joseph Warren),Mike Marshall,"Robert Hundar, Peter Martell, Giorgio Gargiulo, Carlo Gaddi",Lallo Gori,"A textbook tale of single-minded frontier retribution. Young Bobby (Mike Marshall) spends years mastering the fast draw after his mother and sister are murdered by bandits. Armed and hardened, he embarks on an unrelenting hunt across the badlands until every member of the gang is dead."
Death Sentence,1967,Sentenza di Morte,Mario Lanfranchi,Robin Clarke,"Richard Conte, Tomás Milian, Enrico Maria Salerno, Adolfo Celi",Gianni Ferrio,"A pure, stripped-down episodic vengeance western. Cash (Robin Clarke) tracks down the four men responsible for his brother's execution: an aging gambler (Richard Conte), an epileptic albino bandit (Tomás Milian in a bravura performance), a corrupt former priest (Enrico Maria Salerno), and an arrogant land baron (Adolfo Celi)."
Death Walks in Laredo,1966,Three Golden Boys; Tre Pistole Contro Cesare; Tre Ragazzi d'Oro,Enzo Peri,Thomas Hunter,"James Shigeta, Nadir Moretti, Femi Benussi, Delia Boccardo, Umberto D'Orsi, Enrico Maria Salerno",Marcello Giombini,"An outlandish, comic-book-inspired western. Three half-brothers—an American sharpshooter, a Japanese martial artist, and a French illusionist—inherit a gold mine in Laredo, only to find the territory ruled by an eccentric tyrant (Enrico Maria Salerno) who believes he is the reincarnation of Julius Caesar and rules from a hilltop Roman palace."
Deguello,1966,Deguejo,Giuseppe Vari (as Joseph Warren),Giacomo Rossi Stuart,"Dan Vadis, José Torres, Rosy Zichel, Ghia Arlen, Riccardo Garrone, John MacDouglas, Erika Blanc",Alexander Derevitsky,"Following the Civil War, an outlaw crew led by Ramon (Dan Vadis) tortures a Confederate officer to reveal the location of a buried fortune, killing him and his men. The officer's son forms a posse of vengeful sharpshooters, tracking the gang down to an abandoned ghost town for a bullet-strewn standoff."
